Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,positionDB,teamid,playerTeamId,League,PlayerName,xMLBAMID,playerids,playerid
KCR,Royals,65.0,249.186,276.823,73.4933,42.7262,13.1896,4.85955,12.7179,46.8264,40.0764,22.5919,1.92708,47.029,2.35161,2.34547,0.348043,2.72115,13.8931,4.24811,0.294933,0.356042,0.539981,0.896023,0.380542,0.0816113,0.169888,0.480382,0.245047,7.88858,0.316894,,,47.3563,14.31,4.39,0.660694,0.660694,3.21315,14.4795441031456,7.399259090423584,142.487,438.6,6.747692307,438.6,6.747692307,3.0999999046325684,0.024,SS,/players/bobby-witt-jr/25764/stats/batting,SS,7.0,7.0,AL,Bobby Witt Jr.,677951,25764,25764
NYM,Mets,64.0,223.559,276.51,63.9947,35.1131,9.96556,0.457201,18.4588,48.3491,46.0611,49.1687,3.69902,45.1351,1.6561,1.75185,0.374568,5.46218,6.65531,2.31777,0.286254,0.415808,0.582624,0.998432,0.42278,0.177818,0.163231,1.08937,0.296371,4.30739,0.281577,,,56.7828,23.7738,-0.77,-0.0750746,-0.0750746,2.96814,24.399548172950745,-4.062180995941162,173.025,493.3,7.7078125,493.3,7.7078125,4.650000095367432,0.1302521,OF,/players/juan-soto/20123/stats/batting,OF,25.0,25.0,NL,Juan Soto,665742,20123,20123
SEA,Mariners,60.0,210.646,243.589,48.852,22.2271,8.55646,0.130332,17.9381,35.7503,43.6855,28.6802,1.77693,69.6861,2.19317,1.76398,0.191898,2.39423,2.77474,0.822986,0.231915,0.327705,0.529244,0.85695,0.363459,0.11774,0.286081,0.411563,0.29733,3.54262,0.247735,,,38.293,9.21413,6.03,-0.0638952,-0.0638952,2.91822,11.487622313201427,8.662126779556274,140.362,354.6,5.91,354.6,5.91,18.729999542236328,0.23893805,C,/players/cal-raleigh/21534/stats/batting,C,11.0,11.0,AL,Cal Raleigh,663728,21534,21534
HOU,Astros,59.0,221.344,262.583,68.1255,35.7757,12.5568,0.0818972,19.7111,43.967,50.3943,35.0754,4.85877,44.9905,3.6998,2.24546,0.218581,4.16185,1.18333,0.470529,0.307781,0.407451,0.632407,1.03986,0.434266,0.133578,0.171338,0.779619,0.324626,2.38227,0.304708,,,56.3709,25.0245,-0.03,-0.335205,-0.335205,2.89821,25.346628069877625,-6.072367934510112,183.243,504.4,8.549152542,504.4,8.549152542,33.38999938964844,0.79166667,DH/OF,/players/yordan-alvarez/19556/stats/batting,DH/OF,21.0,21.0,AL,Yordan Alvarez,670541,19556,19556
LAD,Dodgers,64.0,236.939,280.967,69.2648,34.8826,11.8289,1.59669,20.9566,53.4,51.9216,39.0798,5.13132,65.7831,2.38773,1.50525,0.280844,4.1563,7.76664,3.68506,0.292332,0.395598,0.621076,1.01667,0.424774,0.13909,0.234131,0.594072,0.328744,5.71394,0.318437,,,58.1528,24.6118,0.0,-0.360568,-0.360568,2.75083,24.023956924676895,-5.979312419891357,171.603,520.0,8.125,520.0,8.125,1.2699999809265137,0.89781022,DH,/players/shohei-ohtani/19755/stats/batting,DH,22.0,22.0,NL,Shohei Ohtani,660271,19755,19755
CHC,Cubs,65.0,248.99,278.412,65.5863,36.8449,12.8883,1.68701,14.166,44.1641,39.0683,20.2593,1.04868,68.8849,4.20591,2.11648,2.84045,2.9325,14.2143,3.29206,0.263409,0.326781,0.499404,0.826185,0.353734,0.0727675,0.247421,0.294104,0.235995,6.97784,0.305972,,,41.5697,8.3337,5.52,1.15124,1.15124,2.55685,9.687535047531128,6.523086309432983,125.296,391.5,6.023076923,391.5,6.023076923,32.939998626708984,0.00393701,OF,/players/pete-crow-armstrong/27769/stats/batting,OF,17.0,17.0,NL,Pete Crow-Armstrong,691718,27769,27769
TBR,Rays,67.0,257.036,285.581,72.6353,39.9627,10.808,0.608022,21.2566,43.3962,55.7999,24.2519,1.88333,53.6748,1.76396,2.23662,0.292481,5.99574,1.90504,0.538568,0.282588,0.345795,0.577465,0.92326,0.389711,0.0849213,0.18795,0.45183,0.294877,3.28675,0.278716,,,50.9797,16.8879,-2.55,-0.188846,-0.188846,2.5546,16.918272793293,-1.8606995940208435,150.984,465.8,6.952238805,465.8,6.952238805,16.479999542236328,0.02390438,3B,/players/junior-caminero/28163/stats/batting,3B,12.0,12.0,AL,Junior Caminero,691406,28163,28163
BAL,Orioles,64.0,245.778,276.685,66.0591,38.5467,13.1521,1.76737,12.593,42.0117,37.6012,25.8284,0.958831,59.4665,2.6625,2.18475,0.23123,5.02018,7.24188,1.82267,0.268776,0.342011,0.490381,0.832392,0.35826,0.0933497,0.214925,0.434335,0.221606,5.79229,0.303953,,,42.3283,9.29849,-0.16,0.335,0.335,2.35633,10.612413883209229,2.8029628694057465,131.615,389.6,6.0875,389.6,6.0875,12.510000228881836,0.056,SS,/players/gunnar-henderson/26289/stats/batting,SS,2.0,2.0,AL,Gunnar Henderson,683002,26289,26289
ARI,Diamondbacks,64.0,240.965,278.368,63.8334,34.5271,13.2691,4.03012,12.007,46.1549,37.9279,30.7633,1.0491,57.8077,3.73958,1.79778,1.10246,3.80848,12.1737,2.7128,0.264907,0.354665,0.502911,0.857575,0.36872,0.110513,0.207666,0.532167,0.238003,7.90483,0.299664,,,44.9493,11.7185,5.01,0.941755,0.941755,2.34422,11.937358736991882,2.1731207370758057,132.589,410.1,6.4078125,410.1,6.4078125,14.100000381469727,0.02521008,OF,/players/corbin-carroll/25878/stats/batting,OF,15.0,15.0,NL,Corbin Carroll,682998,25878,25878
ATH,Athletics,61.0,224.717,247.564,61.9261,32.4702,11.4759,1.16025,16.8197,38.7188,42.7374,18.5921,0.701801,52.2087,2.0582,1.86783,0.329769,3.42335,2.24814,0.64398,0.275574,0.334,0.561515,0.895515,0.379371,0.0750999,0.210889,0.356111,0.285941,4.38901,0.286288,,,42.1156,12.5621,-1.99,-0.10086,-0.10086,2.20048,12.08017586171627,0.8340740203857422,141.878,383.6,6.28852459,383.6,6.28852459,54.04999923706055,0.16431925,C,/players/shea-langeliers/25816/stats/batting,C,10.0,10.0,AL,Shea Langeliers,669127,25816,25816
NYM,Mets,64.0,239.492,273.527,63.7758,38.918,11.5765,0.865813,12.4155,40.6635,37.1475,24.6125,0.345836,49.2488,4.32483,2.03739,0.303799,4.25946,8.73133,2.50427,0.266297,0.34279,0.477389,0.820179,0.355541,0.089982,0.180051,0.499758,0.211092,5.45086,0.28555,,,41.2415,8.58869,0.39,0.342348,0.342348,2.19301,9.624255895614624,3.1493228673934937,127.997,368.4,5.75625,368.4,5.75625,25.350000381469727,0.01492537,SS,/players/francisco-lindor/12916/stats/batting,SS,25.0,25.0,NL,Francisco Lindor,596019,12916,12916
ARI,Diamondbacks,63.0,242.483,275.342,67.7973,39.3592,13.5761,1.23081,13.6311,40.3897,44.5669,27.6234,1.33876,40.8109,2.72818,1.96513,0.278918,5.68272,2.10632,0.746276,0.279596,0.357165,0.51438,0.871545,0.373939,0.100324,0.148219,0.676863,0.234784,4.02826,0.285076,,,45.627,12.7575,0.12,-0.257885,-0.257885,2.11634,11.784532576799393,0.17226997390389442,136.084,410.7,6.519047619,410.7,6.519047619,32.63999938964844,0.17050691,2B,/players/ketel-marte/13613/stats/batting,2B,15.0,15.0,NL,Ketel Marte,606466,13613,13613
