Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,InterSD,InterSK,IntraSD,Vol,Skew,Dim,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
NYY,Yankees,145.056,512.16,637.642,148.551,76.292,24.6981,1.01428,46.5467,107.67,112.12,114.136,10.08,157.107,6.09238,4.73717,0.516279,9.86233,8.80528,2.56994,0.290048,0.421863,0.614881,1.03674,0.432243,0.178997,0.246387,0.726488,0.324833,3.70265,0.325639,-0.956632,,137.047,61.7042,0.795418,-0.522201,-1.47883,7.71574,60.04500889778137,-6.212133347988129,181.636,1211.1,8.352413793,1211.1,8.352413793,4.11918,1.04458,1.48675,4.11918,-1.04458,3.01767,1.8600000143051147,0.37086093,OF,/players/aaron-judge/15640/stats/batting,9,AL,Aaron Judge,592450,15640,15640
KCR,Royals,151.257,598.157,659.483,174.139,102.681,36.7092,6.27609,28.4727,100.12,91.9439,48.0938,5.74036,113.067,6.55352,5.98718,0.691294,6.11177,33.8454,9.2245,0.291126,0.347282,0.516284,0.863566,0.365267,0.0729266,0.171448,0.425358,0.225157,7.0033,0.314883,1.30762,,105.879,27.9563,4.97458,1.99075,3.29838,6.68767,31.06815004348755,11.977226734161377,135.627,985.5,6.526490066,985.5,6.526490066,3.31281,0.388673,0.666103,3.31281,-0.388673,4.11186,3.069999933242798,0.02531646,SS,/players/bobby-witt-jr/25764/stats/batting,7,AL,Bobby Witt Jr.,677951,25764,25764
LAD,Dodgers,148.5,559.095,660.136,158.157,79.6336,27.2067,5.10551,46.2108,121.415,109.06,91.8808,10.0296,159.458,4.5194,3.69416,0.946574,7.39107,24.0332,7.0781,0.28288,0.386166,0.597764,0.98393,0.410427,0.139185,0.241553,0.576207,0.314884,6.47332,0.313468,0.423352,,130.188,52.1881,0.0,0.812119,1.23547,6.2984,53.23688614368439,-14.018349647521973,166.649,1182.0,7.986486486,1182.0,7.986486486,4.0786,-0.965058,0.965705,4.0786,0.965058,3.71239,1.2599999904632568,0.91860465,DH,/players/shohei-ohtani/19755/stats/batting,22,NL,Shohei Ohtani,660271,19755,19755
NYM,Mets,154.754,544.284,678.277,148.714,84.2168,24.8717,1.01512,38.6102,109.287,99.3921,124.803,8.89339,121.692,3.64955,4.2485,1.29129,12.5594,21.4717,5.41073,0.273228,0.409413,0.535468,0.944881,0.401907,0.184001,0.179413,1.02557,0.262239,4.60898,0.283603,-0.910111,,129.074,48.9302,-6.57269,0.733286,-0.176825,5.89167,48.561475202441216,-13.93220043182373,160.796,1148.1,7.407096774,1148.1,7.407096774,0.996168,-0.633344,0.734648,0.996168,0.633344,4.02047,4.679999828338623,0.01875,OF,/players/juan-soto/20123/stats/batting,25,NL,Juan Soto,665742,20123,20123
BAL,Orioles,152.419,581.686,659.777,156.853,93.4539,32.8255,4.2049,26.3683,97.0296,82.4762,67.2582,3.51968,140.177,5.89746,4.35124,0.584581,9.20921,23.9613,5.04078,0.269652,0.348924,0.476534,0.825458,0.35426,0.101941,0.212462,0.479808,0.206882,6.08951,0.311054,0.805515,,100.03,22.0724,-0.400485,1.65132,2.45683,5.64449,25.80466389656067,6.655945241451263,130.025,910.7,5.991447368,910.7,5.991447368,2.2702,0.32928,0.441061,2.2702,-0.32928,4.41192,12.4399995803833,0.05228758,SS,/players/gunnar-henderson/26289/stats/batting,2,AL,Gunnar Henderson,683002,26289,26289
SEA,Mariners,151.723,600.107,660.213,162.889,101.843,28.2013,2.99323,29.8507,94.5235,91.3902,47.3162,3.92878,145.788,8.90574,3.40183,0.482613,10.5045,28.1172,6.49083,0.271433,0.332122,0.47763,0.809751,0.346397,0.0716681,0.220819,0.324555,0.206197,6.04929,0.310931,-0.190054,,95.8816,17.8724,4.61266,1.94778,1.75772,5.56081,24.864798665046692,6.7629218101501465,129.695,897.5,5.904605263,897.5,5.904605263,2.15592,-1.14633,0.271094,2.15592,1.14633,4.63854,9.539999961853027,0.00625,OF,/players/julio-rodriguez/23697/stats/batting,11,AL,Julio Rodríguez,677594,23697,23697
SEA,Mariners,148.707,533.9,618.703,122.495,60.4392,22.2685,0.303513,39.4837,85.3398,100.466,74.7595,8.57148,167.06,5.67702,3.85949,0.506253,5.64864,7.90477,2.25161,0.229434,0.328264,0.49414,0.822404,0.347762,0.120833,0.270016,0.447501,0.264706,3.33548,0.250626,-1.36756,,90.5385,17.434,3.29064,-0.214547,-1.58211,5.32435,20.757437348365784,9.987871885299683,130.635,832.2,5.585234899,832.2,5.585234899,2.73675,1.20069,1.74844,2.73675,-1.20069,2.66874,18.6299991607666,0.23899371,C,/players/cal-raleigh/21534/stats/batting,11,AL,Cal Raleigh,663728,21534,21534
CLE,Guardians,150.651,574.841,648.819,157.05,93.4603,32.9381,2.89829,27.7532,91.9541,88.7823,63.7082,10.08,74.2987,4.47986,5.5467,0.243685,6.70084,33.2031,8.00517,0.273206,0.347281,0.485429,0.83271,0.352643,0.098191,0.114514,0.85746,0.212223,6.01877,0.270305,-0.263507,,97.5173,20.8543,0.462797,2.36177,2.09826,4.86938,24.00812315940857,1.2537303268909454,128.651,924.5,6.122516556,924.5,6.122516556,2.70091,-0.905631,0.54922,2.70091,0.905631,4.26771,6.230000019073486,0.1625,3B,/players/jose-ramirez/13510/stats/batting,5,AL,José Ramírez,608070,13510,13510
SDP,Padres,148.542,567.423,648.293,153.049,93.7359,28.3645,2.44048,28.5085,98.9374,80.0198,70.9651,3.46745,128.348,6.10882,3.05511,0.741046,10.5793,25.9116,6.05498,0.269727,0.355375,0.479044,0.834418,0.359052,0.109465,0.197978,0.552914,0.209316,5.88737,0.301099,0.273575,,100.811,24.2104,5.5891,1.59797,1.87154,4.74328,25.898552417755127,-1.4788603782653809,131.358,918.6,6.165100671,918.6,6.165100671,2.69197,0.13323,0.51215,2.69197,-0.13323,4.31713,14.0600004196167,0.01290323,SS/OF,/players/fernando-tatis-jr/19709/stats/batting,29,NL,Fernando Tatis Jr.,665487,19709,19709
ARI,Diamondbacks,139.718,532.026,611.663,146.528,86.478,29.4272,2.42073,28.2018,88.0042,85.1242,67.1567,5.11614,99.3479,6.74639,4.85665,0.877392,11.4369,5.27446,1.63207,0.275414,0.360897,0.498851,0.859748,0.366893,0.109793,0.162422,0.675975,0.223436,4.11429,0.28907,0.0730397,,99.0095,26.7368,0.15125,-0.638476,-0.565437,4.71229,25.48531597852707,0.22233165800571442,135.935,875.8,6.255714285,875.8,6.255714285,3.22883,0.578918,0.876934,3.22883,-0.578918,3.83075,32.2599983215332,0.168,2B,/players/ketel-marte/13613/stats/batting,15,NL,Ketel Marte,606466,13613,13613
