Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ra_talent_sd,chance_ra_se,total_ra_se,q10,q20,q30,q40,q50,q60,q70,q80,q90,tt_q10,tt_q20,tt_q30,tt_q40,tt_q50,tt_q60,tt_q70,tt_q80,tt_q90,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
DET,Tigers,13.9854,8.9548,32.0,32.0,0.0,0.0,,199.765,796.828,159.807,68.1902,62.0942,20.2428,242.685,43.5371,0.3642,7.1157,2.79753,1.01792,10.9337,1.96148,5.57422,0.912,0.304564,0.054638,0.24992607161402702,0.424339,0.214169,0.288806,0.77229,2.78345,1151.0,5.755,1073.0,5.365,5.88823,5.79619,22.6349,0.365169,0.676025,0.768348,4.09,3.67,3.39,3.17,2.98,2.8,2.62,2.42,2.17,3.55,3.37,3.25,3.14,3.05,2.96,2.87,2.76,2.62,6.5,6.0,AL,Tarik Skubal,669373.0,22267,22267
PIT,Pirates,13.4878,9.1322,32.0,32.0,0.0,0.0,,193.982,785.668,158.127,69.2389,62.9653,17.5661,236.97,51.6545,0.5028,7.1724,2.92135,1.08145,10.9945,2.39657,4.5876,0.815,0.301616,0.065746,0.2358700856566429,0.443775,0.217553,0.297605,0.758914,2.77892,1100.4,5.6721649484536085,1033.0,5.324742268041237,5.68296,5.74043,21.2584,0.412897,0.702778,0.815095,4.29,3.84,3.55,3.32,3.11,2.92,2.73,2.52,2.26,3.75,3.55,3.41,3.29,3.19,3.08,2.98,2.86,2.7,10.229999542236328,27.0,NL,Paul Skenes,694973.0,33677,33677
BOS,Red Sox,13.592,8.9556,32.0,32.0,0.0,0.0,,192.855,773.898,157.89,71.1383,65.0025,19.6712,237.989,49.8746,0.493,6.0093,3.03348,1.07731,11.1063,2.3275,4.77175,0.918,0.30752,0.064446,0.24307389557361603,0.455967,0.219898,0.300245,0.758088,2.86239,1079.4,5.592746113989638,1013.0,5.248704663212435,5.54573,5.39046,20.6807,0.405855,0.717073,0.823962,4.41,3.96,3.66,3.43,3.22,3.03,2.83,2.62,2.36,3.85,3.65,3.51,3.4,3.3,3.2,3.09,2.97,2.82,11.270000457763672,3.0,AL,Garrett Crochet,676979.0,27463,27463
PHI,Phillies,13.513,9.3488,32.0,32.0,0.0,0.0,,198.055,812.033,182.498,76.9598,69.053,17.4288,191.352,50.5751,0.4953,6.6741,3.1379,1.17681,8.69538,2.29823,3.78351,0.792,0.235645,0.0622821,0.17336301133036613,0.545382,0.241789,0.302323,0.748125,3.214,990.9000000000001,5.004545454545455,977.0,4.934343434343434,4.7252,5.14912,21.1586,0.388101,0.726451,0.823622,4.58,4.14,3.85,3.61,3.4,3.21,3.01,2.8,2.53,4.01,3.82,3.68,3.57,3.48,3.38,3.28,3.17,3.02,27.68000030517578,26.0,NL,Cristopher Sánchez,650911.0,20778,20778
KCR,Royals,11.7978,8.5561,29.16,29.16,0.0,0.0,,172.018,711.406,140.357,68.1679,62.7243,18.0619,210.373,62.2609,0.5983,5.6365,3.28174,1.17789,11.0067,3.25749,3.37889,0.945,0.295714,0.0875181,0.2081960141658783,0.399002,0.218112,0.294635,0.758186,3.23833,903.3999999999999,5.252325581395348,842.0,4.895348837209302,4.20537,4.23006,17.444,0.446185,0.787022,0.904702,4.76,4.27,3.94,3.68,3.46,3.25,3.03,2.8,2.51,4.15,3.93,3.78,3.65,3.54,3.43,3.32,3.19,3.02,45.63999938964844,7.0,AL,Cole Ragans,666142.0,21846,21846
ATL,Braves,11.9696,7.5745,27.54,27.54,0.0,0.0,,168.535,685.659,139.805,65.0391,59.8312,18.1456,205.7,44.2853,0.5232,8.6098,3.19507,1.0923,10.9847,2.3649,4.64489,0.969,0.300004,0.0645879,0.235415980219841,0.416542,0.220943,0.297514,0.750228,3.03532,918.2,5.433136094674556,864.0,5.112426035502959,4.15057,4.32151,17.7248,0.425558,0.784849,0.892798,4.65,4.16,3.84,3.59,3.36,3.16,2.95,2.72,2.43,4.03,3.82,3.68,3.56,3.45,3.34,3.23,3.11,2.95,38.36000061035156,16.0,NL,Chris Sale,519242.0,10603,10603
SFG,Giants,12.6807,10.3026,32.0,32.0,0.0,0.0,,199.392,830.798,193.861,81.8037,73.5179,16.6603,187.132,47.1478,0.7552,6.049,3.3184,1.20872,8.44661,2.12812,3.96904,0.752,0.225243,0.05675,0.16849307343363762,0.547548,0.249306,0.308814,0.731357,3.14472,974.1000000000003,4.894974874371861,989.0,4.969849246231155,4.09645,3.93109,20.7406,0.380195,0.743193,0.834796,4.79,4.35,4.05,3.81,3.6,3.4,3.2,2.98,2.71,4.19,4.0,3.88,3.77,3.67,3.58,3.48,3.37,3.22,63.77000045776367,30.0,NL,Logan Webb,657277.0,17995,17995
TEX,Rangers,11.4128,9.1262,29.16,29.16,0.0,0.0,,174.797,715.502,152.498,73.654,68.3862,23.6364,202.488,39.7912,0.44,5.3398,3.52109,1.10007,10.4258,2.04878,5.08877,1.217,0.283002,0.055613,0.2273888923227787,0.378878,0.227482,0.290067,0.745204,3.35076,873.5999999999999,4.991999999999999,832.0,4.7542857142857144,4.0366,3.37992,17.128,0.485278,0.803634,0.938788,5.03,4.52,4.18,3.92,3.68,3.46,3.24,3.0,2.69,4.43,4.19,4.02,3.89,3.76,3.64,3.52,3.38,3.19,47.04999923706055,13.0,AL,Jacob deGrom,594798.0,10954,10954
TOR,Blue Jays,12.4115,9.7179,32.0,32.0,0.0,0.0,,184.857,777.037,156.596,79.4641,73.4727,22.2034,216.824,67.5222,1.178,5.8837,3.57711,1.21239,10.5563,3.2874,3.21115,1.081,0.279039,0.086897,0.1921420618891716,0.381771,0.222554,0.289263,0.749373,3.54201,902.2,4.876756756756757,851.0,4.6,3.85878,3.37588,17.4667,0.402504,0.788459,0.885255,5.04,4.56,4.24,3.99,3.77,3.56,3.35,3.12,2.82,4.39,4.2,4.06,3.95,3.85,3.75,3.64,3.53,3.37,78.55000305175781,14.0,AL,Dylan Cease,656302.0,18525,18525
BOS,Red Sox,11.532,9.9858,30.78,30.78,0.0,0.0,,181.357,757.548,171.658,81.2081,74.7167,21.2994,189.262,47.8763,0.5015,5.6627,3.70788,1.21051,9.39229,2.3759,3.95315,1.057,0.249835,0.063199,0.18663609772920609,0.451378,0.243829,0.30471,0.729125,3.46038,849.9000000000001,4.695580110497238,848.0,4.685082872928176,3.84733,3.47429,16.9347,0.419043,0.810534,0.912449,5.23,4.74,4.42,4.16,3.93,3.71,3.5,3.26,2.95,4.58,4.37,4.23,4.12,4.01,3.9,3.8,3.67,3.51,134.13999938964844,3.0,AL,Sonny Gray,543243.0,12768,12768
