Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
PIT,Pirates,14.0419,8.04928,29.889,29.889,0.0,0.0,,185.012,737.695,142.337,61.81,57.76,15.229,216.886,45.9939,0.455141,6.57143,2.80976,1.01794,10.5505,2.23739,4.71553,0.740824,0.294005,0.0623481,0.23165659606456757,,0.207752,0.280582,0.757563,2.71301,1090.3,5.893513513513513,1005.0,5.4324324324324325,6.04226,5.66663,14.2521,9.65999984741211,27,NL,Paul Skenes,694973,33677,33677
DET,Tigers,14.4364,7.75689,29.362,29.362,0.0,0.0,,188.109,740.915,142.486,63.39,58.94,19.6014,227.536,38.983,0.489188,6.0791,2.81996,0.964701,10.8864,1.86513,5.8368,0.93782,0.307102,0.0526147,0.2544868662953377,,0.204765,0.273859,0.766612,2.78923,1097.0,5.835106382978723,1001.0,5.324468085106383,5.98119,5.77452,15.0918,6.909999847412109,6,AL,Tarik Skubal,669373,22267,22267
SFG,Giants,13.6058,9.13923,30.186,30.186,0.0,0.0,,195.373,801.674,181.289,76.28,70.99,14.3226,185.219,46.4379,0.827801,6.00223,3.27021,1.1656,8.53224,2.1392,3.98852,0.659779,0.23104,0.0579262,0.1731138788163662,,0.241966,0.303746,0.729249,2.99733,1014.1999999999999,5.201025641025641,1007.0,5.164102564102564,5.23093,4.73114,16.1701,57.72999954223633,30,NL,Logan Webb,657277,17995,17995
BOS,Red Sox,13.4149,8.2388,29.213,29.213,0.0,0.0,,183.03,735.34,146.741,68.95,64.06,20.6673,222.147,45.4005,0.52736,5.26309,3.14998,1.04978,10.9235,2.23245,4.89305,1.01626,0.302101,0.0617409,0.2403603121638298,,0.214322,0.285324,0.754816,3.00604,1007.7,5.50655737704918,936.0,5.114754098360656,5.19216,4.70363,14.5366,12.100000381469727,3,AL,Garrett Crochet,676979,27463,27463
PHI,Phillies,13.8748,8.14883,29.348,29.348,0.0,0.0,,187.877,767.956,168.963,74.32,68.89,16.2255,183.589,46.7131,0.478544,5.74003,3.30008,1.14797,8.79457,2.23773,3.93013,0.777259,0.239061,0.0608279,0.17823339626193047,,0.236146,0.296182,0.732565,3.14106,964.0000000000001,5.127659574468086,941.0,5.00531914893617,4.68316,4.47756,15.3884,25.170000076293945,26,NL,Cristopher Sánchez,650911,20778,20778
SEA,Mariners,13.3901,8.28334,29.289,29.289,0.0,0.0,,183.483,731.773,150.102,72.13,67.48,23.7092,186.271,35.0606,0.486286,6.74804,3.30995,1.00916,9.13676,1.71975,5.31284,1.16296,0.254548,0.0479118,0.20663588866591454,,0.217551,0.263328,0.743784,3.46816,915.0,5.0,849.0,4.639344262295082,4.38946,4.35888,14.6796,34.900001525878906,11,AL,Bryan Woo,693433,30279,30279
SEA,Mariners,11.9705,8.28448,28.422,28.422,0.0,0.0,,167.796,673.981,136.041,68.22,63.76,21.9916,196.931,38.8383,0.521173,5.30253,3.41987,1.04221,10.5627,2.08315,5.07055,1.17956,0.292191,0.0576252,0.23456627130508423,,0.215993,0.277548,0.740221,3.28085,880.9999999999999,5.244047619047619,816.0,4.857142857142857,4.23938,3.78191,12.5694,37.11000061035156,11,AL,Logan Gilbert,669302,22250,22250
KCR,Royals,10.8815,7.95102,26.451,26.451,0.0,0.0,,155.757,641.007,121.754,62.31,58.5,17.2487,195.664,55.7122,0.512453,5.03509,3.38027,1.13938,11.3059,3.21918,3.51205,0.996672,0.305245,0.0869136,0.21833154559135437,,0.209827,0.284487,0.751094,3.23238,837.1000000000001,5.366025641025642,768.0,4.923076923076923,4.07453,3.64035,11.6044,47.779998779296875,7,AL,Cole Ragans,666142,21846,21846
ATL,Braves,10.7618,7.84169,25.58,25.58,0.0,0.0,,156.965,647.69,132.881,67.74,63.31,17.7755,193.014,44.522,0.413197,8.31874,3.63005,1.13021,11.067,2.55278,4.33526,1.0192,0.298004,0.0687396,0.22926433384418488,,0.223386,0.299707,0.71902,3.15791,821.5999999999999,5.23312101910828,778.0,4.955414012738854,4.06572,3.04213,12.4516,39.209999084472656,16,NL,Chris Sale,519242,10603,10603
LAD,Dodgers,13.0588,6.24489,26.498,26.498,0.0,0.0,,161.159,658.321,132.632,62.74,58.55,15.2733,175.532,49.29,0.394329,5.273,3.26975,1.12883,9.80266,2.75262,3.56121,0.852944,0.266636,0.0748723,0.191763274371624,,0.219677,0.284193,0.742384,3.2045,851.1000000000001,5.286335403726709,800.0,4.968944099378882,4.03227,3.8721,12.431,26.639999389648438,22,NL,Yoshinobu Yamamoto,808967,33825,33825
