Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
NYY,Yankees,144.946,517.985,637.138,148.551,72.6367,26.0547,0.425026,49.4344,105.629,119.49,108.177,18.168,161.844,5.97552,4.23503,0.516783,8.87866,7.83076,2.90187,0.286786,0.412814,0.625035,1.03785,0.428113,0.169787,0.254017,0.668407,0.338249,3.22159,0.318762,,,134.801,59.5187,-2.34,-0.735398,-0.735398,7.4038,59.77751135826111,-9.342221975326538,180.583,1201.2,8.284137931,1201.2,8.284137931,1.850000023841858,0.37086093,OF,/players/aaron-judge/15640/stats/batting,9,AL,Aaron Judge,592450,15640,15640
KCR,Royals,151.433,599.341,660.363,174.736,102.514,35.3697,5.59392,31.2583,104.665,96.7997,48.0268,5.00703,113.084,6.42491,5.7013,0.868761,6.99599,37.1752,8.40602,0.291547,0.34752,0.525691,0.873211,0.36926,0.0727279,0.171245,0.424701,0.234145,7.03407,0.311433,,,108.161,30.1344,3.65,2.98946,2.98946,6.5805,30.928282976150513,10.660787105560303,135.897,1018.0,6.741721854,1018.0,6.741721854,3.0799999237060547,0.02531646,SS,/players/bobby-witt-jr/25764/stats/batting,7,AL,Bobby Witt Jr.,677951,25764,25764
SEA,Mariners,150.13,539.422,624.588,120.994,58.6639,22.3668,0.863461,39.0997,82.1347,103.201,73.9943,6.89182,172.815,6.22317,4.43938,0.509032,6.31493,7.37984,2.59373,0.224303,0.322413,0.486422,0.808835,0.342995,0.118469,0.276686,0.428172,0.262119,3.6221,0.246708,,,88.9826,15.1828,14.95,-0.45756,-0.45756,6.43403,19.67742094397545,21.711334705352783,127.352,819.6,5.464,819.6,5.464,18.190000534057617,0.23899371,C,/players/cal-raleigh/21534/stats/batting,11,AL,Cal Raleigh,663728,21534,21534
LAD,Dodgers,148.386,558.462,659.827,158.972,77.8796,30.8276,3.10828,47.1561,120.914,118.299,91.2083,13.4699,156.685,4.74712,3.60351,0.742774,8.77813,25.3154,8.3341,0.284659,0.387415,0.604309,0.991724,0.411914,0.138231,0.237463,0.582114,0.31965,5.94908,0.312137,,,130.924,52.9605,0.0,0.591434,0.591434,6.33568,53.97976219654083,-14.0076322555542,168.269,1194.3,8.069594594,1194.3,8.069594594,1.25,0.91860465,DH,/players/shohei-ohtani/19755/stats/batting,22,NL,Shohei Ohtani,660271,19755,19755
NYM,Mets,154.598,547.247,677.695,147.785,82.83,26.4211,0.427657,38.1058,107.416,99.3921,121.373,8.8778,123.175,4.14427,3.84307,1.08704,13.8114,16.677,6.10479,0.270051,0.40393,0.528789,0.932719,0.397263,0.179097,0.181756,0.985375,0.258738,3.962,0.281365,,,126.408,46.3331,-2.99,-0.481445,-0.481445,6.21432,48.53357735276222,-10.342071771621704,161.024,1104.9,7.128387096,1104.9,7.128387096,4.599999904632568,0.01875,OF,/players/juan-soto/20123/stats/batting,25,NL,Juan Soto,665742,20123,20123
SEA,Mariners,151.614,598.507,659.957,163.52,103.337,25.8073,6.17905,28.1967,95.7148,87.3591,47.75,3.63845,146.37,9.24734,3.89029,0.562606,10.7476,25.7046,6.52448,0.273213,0.334423,0.478315,0.812739,0.347559,0.0723531,0.221787,0.326229,0.205103,6.71156,0.3163,,,96.4667,18.4877,0.52,1.43458,1.43458,5.1707,25.154954195022583,2.668724298477173,130.495,893.0,5.875,893.0,5.875,9.569999694824219,0.00625,OF,/players/julio-rodriguez/23697/stats/batting,11,AL,Julio Rodríguez,677594,23697,23697
BAL,Orioles,152.559,582.757,659.356,155.806,93.5281,34.606,2.71849,24.9536,94.1716,80.0548,64.9295,3.18007,140.303,5.72078,5.40829,0.540347,12.1705,20.6366,5.18366,0.267361,0.343733,0.464533,0.808266,0.347499,0.0984741,0.212788,0.46278,0.197173,5.59712,0.309411,,,96.3469,18.4389,-1.33,0.941669,0.941669,5.02171,20.655156910419464,5.732916712760925,125.367,883.1,5.771895424,883.1,5.771895424,12.289999961853027,0.05228758,SS,/players/gunnar-henderson/26289/stats/batting,2,AL,Gunnar Henderson,683002,26289,26289
SDP,Padres,148.434,564.905,645.925,154.289,93.5873,27.6022,4.0926,29.0067,99.1358,85.0749,69.678,3.08354,128.505,6.18779,4.19189,0.962235,12.4951,23.1083,7.1433,0.273124,0.35685,0.490519,0.847368,0.36337,0.107873,0.198947,0.542219,0.217395,5.89554,0.304389,,,102.707,26.3864,4.32,0.598044,0.598044,4.97473,29.87563806772232,-2.7428317070007324,138.244,926.1,6.257432432,926.1,6.257432432,14.180000305175781,0.01290323,SS/OF,/players/fernando-tatis-jr/19709/stats/batting,29,NL,Fernando Tatis Jr.,665487,19709,19709
TOR,Blue Jays,152.874,578.462,662.506,173.049,109.535,30.852,1.17979,31.4825,97.6048,97.9593,71.9869,6.99192,87.5534,7.13419,4.29011,0.633122,16.4702,5.84526,2.26945,0.299154,0.380995,0.519841,0.900836,0.383866,0.108658,0.132155,0.822205,0.220687,3.45529,0.305287,,,116.369,38.0885,-0.37,-0.959615,-0.959615,4.93096,37.75307762622833,-12.360403180122375,149.578,1020.6,6.670588235,1020.6,6.670588235,18.420000076293945,0.15286624,1B,/players/vladimir-guerrero-jr/19611/stats/batting,14,AL,Vladimir Guerrero Jr.,665489,19611,19611
TEX,Rangers,124.044,458.595,531.925,126.263,73.6609,23.7325,0.690845,28.1786,71.6766,84.1042,60.199,8.51315,100.433,4.6736,4.28313,0.491608,10.326,1.77741,0.703337,0.275325,0.36217,0.514425,0.876595,0.370412,0.113172,0.18881,0.599397,0.2391,2.38273,0.293431,,,87.6217,24.7707,-0.09,-0.790898,-0.790898,4.83836,24.983576953411102,3.998479515314102,141.112,781.1,6.299193548,781.1,6.299193548,95.56999969482422,0.04901961,SS,/players/corey-seager/13624/stats/batting,13,AL,Corey Seager,608369,13624,13624
